year,areakm,municipality,geocode_ibge,state
2014,5.255049305085978,Nova Monte Verde,5108956,Mato Grosso
2015,6.2637980375969,Nova Monte Verde,5108956,Mato Grosso
2016,18.445467156890064,Nova Monte Verde,5108956,Mato Grosso
2017,17.43309532942095,Nova Monte Verde,5108956,Mato Grosso
2018,16.811643250994887,Nova Monte Verde,5108956,Mato Grosso
2019,40.029476903408884,Nova Monte Verde,5108956,Mato Grosso
2020,18.89199494502009,Nova Monte Verde,5108956,Mato Grosso
2021,26.108021901003625,Nova Monte Verde,5108956,Mato Grosso
2022,34.264720065375975,Nova Monte Verde,5108956,Mato Grosso
2023,33.42554511826768,Nova Monte Verde,5108956,Mato Grosso
2024,4.908632905395043,Nova Monte Verde,5108956,Mato Grosso
2007,2816.8942316986245,Nova Mutum,5106224,Mato Grosso
2008,10.236259132428314,Nova Mutum,5106224,Mato Grosso
2009,4.371731645590133,Nova Mutum,5106224,Mato Grosso
2010,12.325618214462175,Nova Mutum,5106224,Mato Grosso
2011,9.493088267860443,Nova Mutum,5106224,Mato Grosso
2012,11.309855532955465,Nova Mutum,5106224,Mato Grosso
2013,6.608868843533356,Nova Mutum,5106224,Mato Grosso
2014,5.596410868611604,Nova Mutum,5106224,Mato Grosso
2015,13.660978543149152,Nova Mutum,5106224,Mato Grosso
2016,3.60041081649418,Nova Mutum,5106224,Mato Grosso
2017,2.458501076529597,Nova Mutum,5106224,Mato Grosso
2018,7.013655905876937,Nova Mutum,5106224,Mato Grosso
2019,30.41320530085352,Nova Mutum,5106224,Mato Grosso
2020,2.0415236615341805,Nova Mutum,5106224,Mato Grosso
2021,4.578827822620972,Nova Mutum,5106224,Mato Grosso
2022,8.82500367647229,Nova Mutum,5106224,Mato Grosso
2023,11.05743121233125,Nova Mutum,5106224,Mato Grosso
2024,6.89225855177169,Nova Mutum,5106224,Mato Grosso
2007,189.20518039886218,Nova Nazaré,5106174,Mato Grosso
2008,11.042765717992541,Nova Nazaré,5106174,Mato Grosso
2009,0.15800197543919134,Nova Nazaré,5106174,Mato Grosso
2010,0.27175140188485863,Nova Nazaré,5106174,Mato Grosso
2011,0.6637169645229388,Nova Nazaré,5106174,Mato Grosso
2012,0.09598779913343489,Nova Nazaré,5106174,Mato Grosso
2013,0.19009360953873114,Nova Nazaré,5106174,Mato Grosso
2014,0.5642763103885859,Nova Nazaré,5106174,Mato Grosso
2015,0.13775728807540366,Nova Nazaré,5106174,Mato Grosso
